id,hubness,density
1,0.265297243,0.1427566
2,0.126611821,0.3054657
3,0.175033446,0.5855692
4,0.261694525,0.7834726
5,0.346915123,0.8686502
6,0.446807696,1.478561
7,0.282035548,2.200004
8,0.410126692,2.455361
9,0.30186127,2.945438
10,0.18399948,3.727412
11,0.20829501,4.670333
12,0.39674708,5.341874
13,0.291919538,6.022112
14,0.338989919,8.927569
15,0.209195398,14.68095
16,0.314943806,29.73318
17,0.333266816,46.15029
18,0.26578879,59.13919
19,0.133265216,77.34154
20,0.254683116,89.62701
